ABR	6.60237887482242
EEF1A1P11	5.38687608134372
AGAP7P	5.11549954703336
SHISA2	4.74970911894601
RASL10B	4.32375252911909
RYR1	4.23020678722374
ADAMTS7P1	4.08551948046928
SYT13	4.07630497032417
SLIT2	4.07598568187387
LGALS3BP	4.07015559940666
TMEM163	4.03751835008452
NME1-NME2	4.02117237108923
RASA4B	3.97024241051982
EMX1	3.94175599149688
CALCRL	3.92535511812158
INTS10	3.89680801048509
RAB38	3.87840357944921
SHOX2	3.86727647578553
HSPG2	3.86461646160417
PLD6	3.85556774498014
CLDN19	3.83363598363727
LPL	3.83047361848761
MSX2P1	3.7670148898484
GDF6	3.76097441015318
ID3	3.67512336186357
FAM220A	3.66949681358008
SIM2	3.65032868595833
RASD2	3.64861119229548
BNC1	3.6454464536224
ZNG1DP	3.62831079309802
ANO9	3.61626620293285
MAT1A	3.60140538140263
RGS3	3.59860130993862
CYP2U1	3.58791964392669
ARHGAP23	3.57590116972863
GATM	3.55267895228271
TAC3	3.52842735653534
IGSF1	3.52471994241725
EGR3	3.52410755732341
C10orf105	3.51534072730214
EIF5AL1	3.51055110608746
CD74	3.48811373477817
RHBDL2	3.48055720382517
CADM2	3.47443195712457
COG5	3.46227049581936
RASA4	3.45752718666916
SPTSSB	3.45417817078175
PPFIA3	3.43549101124373
DGKK	3.42416721792921
ISOC1	3.4214417975219
MAP3K7CL	3.42006382820847
COL9A1	3.41467270417397
TINAGL1	3.39304901018236
DIS3L	3.36270181131129
IDS	3.36132628436473
RIN1	3.35614504726065
PRKCB	3.34795209993722
IFI30	3.33743176405488
BRINP2	3.33488710753522
CHGA	3.33143584104719
MLF1	3.32825429611659
PPFIBP1	3.32506869236228
SLC9A5	3.32492241058533
AKNA	3.31804562307336
TNFAIP8L1	3.31393924240373
MSN	3.30172150054881
IGSF3P2	3.29739935952404
TTC38	3.28822223645484
SERPINF1	3.27684473596604
SYN1	3.26840810328706
MALL	3.26734648704833
TMEM151B	3.26632618708718
MMP16	3.26427271245953
GSDMD	3.26228291822306
SLC5A8	3.24259687645187
MFGE8	3.229426557361
FYN	3.22277144871462
PRR5L	3.21127180078215
RRAS	3.20887224911094
PIK3R6	3.20164994666055
BTBD17	3.19895559379892
LANCL1	3.19621213222944
ESPNL	3.18106481656288
KRT222	3.17480748759506
GRIA3	3.16725529646445
ANKRD34B	3.16622436501022
PTX3	3.16309946282791
SNCA	3.15320523951599
ANKRD20A2P	3.15240096935982
SPESP1	3.13024768613949
TCF15	3.12697527546316
GSTM1	3.12091178058674
AMOT	3.11625378925305
FSD1	3.11462123801425
TMEM185A	3.1067254827742
TMEM196	3.10615755364125
TMEM130	3.10142380158111
LPIN2	3.0958441864919
MYL11	3.0946494594335
RTN4RL2	3.09103824339016
DOK4	3.08085464203122
BICDL1	3.07379458838813
WDPCP	3.07253351624069
PHF24	3.07132418693556
IGFBP6	3.07036724900532
CDK11A	3.06281419947346
CLGN	3.06266218025979
EPHB1	3.06022853505925
TNNT1	3.04899794172748
FHOD1	3.0485008561383
ALKBH2	3.04836641563835
CHP2	3.04545580683975
ENG	3.04042606570515
SV2B	3.04001932968574
DAGLA	3.03920386714268
EHBP1L1	3.03882126466612
PPM1J	3.037751484199
ENTPD1	3.03495953724603
HPCAL4	3.01258708520521
JPH4	3.01225667480416
BUB1	3.01035881610176
FAT2	3.00856596997906
ATN1	3.00418956855677
PLXDC2	3.00333359401094
BIN1	2.99953106226547
IQSEC3	2.99531755808087
CILP2	2.99191267106499
CNTNAP3P7	2.98463697965696
SLC15A3	2.9776982804139
HSPE1-MOB4	2.97340766722827
NT5E	2.96913251998501
CPXM2	2.96635059257775
ANGPT4	2.96028324579438
NRXN2	2.95629270686725
XYLT1	2.95468796401207
PDGFRB	2.95169408390768
CHST1	2.94752521444883
ADAMTSL2	2.94033778190136
GRM8	2.93766021458821
BATF2	2.9358762001212
GALNT14	2.93530387734896
BMP6	2.93396537689501
TGIF1	2.93265330098988
