JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000002330	966.198	1188.315	917	807.982	1083.891	1080.179	1396.747	1585.001	1195.994	1093.948	1259.075	962.976	893	870.009	907.143	958.44	1120.101	1056.603	745	741.008	922.85	396.641	479.654	468.146	528.095	455.756	383.927	425.791	439.161	2764.045	3417.268	2812.795	2179.083
ENSG00000002549	5221.835	5980.104	5684.133	4032.848	6116.348	4827.672	7142.588	7791.588	6082.175	5432.824	5039.715	6404.245	4379.825	4600.357	5104	4854.129	5110.51	5278.694	4993.91	4578.881	5572.854	4979.734	5705.236	9214.273	6704.392	4498.68	3704.578	7450.764	5386.264	3970.213	4624.82	3876.028	4543.88
ENSG00000002586	3952.041	4655.679	3167.222	3419.699	4210.005	7676.082	3666.456	6001.019	4475.637	5400.845	6534.095	4148.793	5173.768	3430.938	2764.206	5168.712	7303.863	6621.098	4791.891	4903.54	5011.974	1246.236	2239.629	2711.192	2268.413	1705.558	2557.951	3365.586	2418.472	57341.029	52903.278	81511.392	56904.874
ENSG00000002587	176.001	115	111	250	157	155	108	108	110	77	40	52	36	55	22	70	76	59	82	25	30	39.038	102.599	133.25	26	38.135	2.003	20.493	32.476	0	0	0	0
ENSG00000002726	55	91	62	44	28	26	9	21	36	0	25	23	0	0	1	20	3	13	1	1	0	138	26	2	7	0	4	1	17	0	0	0	0
ENSG00000002745	65	58.004	25	38	9	10	4	16	19	5	8	20	4	1	3	29	42	27	5	1	3	16	16	19	16	2	21	15	11	97	1085	100	621.078
ENSG00000002746	478	780	801.999	303	414.028	352.001	345	557	553.839	225.001	280.001	590.049	191	247.001	393.001	783.308	739.155	723.929	246	303	354.016	4.155	4.185	4.083	6.521	6.029	4.063	4.257	0	99.023	448	1300	165
ENSG00000002822	2459.974	2317.365	2615.992	2252.26	2571.776	2460.305	3563.839	4677.704	3216.026	2833.256	2922.293	3366.359	2165.608	2235.417	1424.729	2197.291	2406.54	2117.941	2026.38	1789.325	2114.27	795.901	1380.92	1187.561	1279.103	1200.445	1008.15	1221.147	1018.536	849.031	2268.745	1258.072	1151.289
ENSG00000002834	28119.635	30811.604	31460.629	20913.245	25662.054	20011.567	24250.866	36638.998	29384.413	20587.385	24515.932	27974.391	22156.525	19349.598	22189.025	27849.859	26366.456	29719.303	18099.39	17583.376	21511.852	7071.713	8205.877	7500.707	7675.996	4238.171	4695.313	6561.688	6124.792	24030.037	66003.564	48080.48	56337.477
ENSG00000002919	1527.558	1983.474	1606.319	1250	1503.999	1596.838	1734.01	2343.837	1716.218	1429.053	1839.938	1937.376	1675.487	1451.318	1602.456	1466.501	1775.758	2012.002	1176.16	1341.213	1471.207	2166.398	1899.633	2096.999	1656.511	1729.76	2010.5	1343.581	1886.129	1038.231	1372	1772.016	1656
ENSG00000002933	13.001	16	19.001	22	18	31	8	11	12	16	48	16	5	5	8	8	21	22	3	4	9	131	45	0	10	0	1	0	154.999	92	0	0	0
ENSG00000003056	8268.16	8837.213	8702.452	6545.728	10184.968	9161.263	11615.897	15136.645	10210.117	10698.225	11142.869	10223.998	7192.834	9570.336	8799.057	8200.737	8064.946	8204.146	7702.953	6494.8	7895.7	5493.234	5791.602	6420.433	5677.397	3665.039	4660.192	4785.967	4483.059	10185.903	7937.829	6289.819	7171.766
ENSG00000003096	1680.082	1548	1112	1287.346	1377.999	1725.29	1087.131	2002.023	1511.502	692.539	1662.013	1510.3	667	326	294.002	634.017	784.278	672.087	596.05	542	714.801	1	120	24	41	139.999	84.999	110	17	139.038	565.056	13	150
ENSG00000003137	81	81	19	74	45	110	34	151	127	31	62	36	21	31	14	39.001	21	30	11	8	8	0	0	4	0	0	1	2	1	297	352	1078	87
