JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3	L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	JL	Control_Fibro_1	Control_Fibro_2	Control_Fibro_3
ENSG00000105507	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000105509	40	25	45	47	29	18	101	115	55	209	117	74	133	56	21	36	35	38	86	71	67	0	0	1	1	1	4	0	2	2	7	0	5
ENSG00000105514	3180.72	3458.266	2370.004	2417	2868.033	2544.32	3115.838	4191.534	3257.42	2419.067	3292.052	3184.513	2353.481	2038.867	1517.063	2269.481	2391.7	2340.444	2223.967	1979.005	2421.498	459.822	400.209	430	578.01	336.023	195.593	507.845	283.801	930.206	771.001	640.764	1064.008
ENSG00000105516	944.107	593.999	418.001	983.999	666.019	1048.064	697.999	923.72	562.001	779.09	1632.527	546.405	700.007	537.999	269.001	233	281	140.069	510.999	401.008	542	186.931	281.322	255.495	250.074	158.042	280.693	223.952	197.921	768	645.001	636.576	226.2
ENSG00000105518	3747.233	4037.562	3311.958	3398.578	3947.197	4100.989	3861.547	5451.335	4070.061	2836.278	3585.302	3194.971	2721.682	2593.289	2193.799	2354.316	2587.333	2753.832	2319.478	2244.944	2763.787	673.233	675.61	782.999	861.744	580.904	639.761	782.002	627.746	1341	1638.896	1703.209	1245.992
ENSG00000105519	265.751	306.17	150.73	229.696	225.829	367.057	230.491	470.12	294.664	255.739	442.999	221.252	292.987	523.566	187	113.539	158.572	154	347.604	250.967	302.586	229.098	402.599	286.597	387.989	320.906	515.423	296.849	291.144	464	652.638	813.866	555.001
ENSG00000105520	1413	1689	1384.001	1215.574	1212.731	1450.001	1113.064	2070.072	1538.409	612.001	1281.287	1386.001	667.238	524.035	389.011	1036.086	1008.178	1077.999	562.007	675	743	94	92.001	108	135	116.177	111.841	75.999	87.999	3085.946	5533.636	6015.175	3908.387
ENSG00000105523	252	222	270	202	210	290	176	208	221	118	358	271	94	121	166	165	325	393.011	84	122	123	4	2	7	2	6	6	20	8	0	0	0	0
ENSG00000105538	1959.179	983.01	609.026	1407.618	919.001	895	791.001	1550	1302.001	547	761.282	735.207	670.999	599	278	572.652	651.686	670.115	544.1	505	577	3	8	3	4	1	6	6	8	153	195	7	46
ENSG00000105549	0	0	0	0	0	0	0	1	0	0	3	0	4	5	2	0	1	1	3	0	2	10	10	10	33	17	5	3	13	0	0	0	0
ENSG00000105550	177	89	38	98	18	34	15	50	52	5	20	35	24.881	24	56	20	10	23	9	17	5	1	0	0	1	0	0	2	1	0	0	0	0
ENSG00000105552	3160.919	2606.529	1624.053	2655.619	2300.088	2948.229	2193.623	4065.307	3348.226	1269.066	3822.371	2540.354	1595.019	1237.959	800.999	1300.175	1184.606	1182.464	1360.105	1212.283	1591.282	678.938	913.087	990.342	954.9	1114.693	1039.986	1022.144	1086.061	1491.033	2577.806	1478.012	1758.118
ENSG00000105556	4245.024	4284.82	4321.744	3918.447	4202.942	4058.343	4389.229	5856.51	4564.663	4006.239	5140.42	3779.591	3837.081	3349.216	2948.354	3164.409	3632.399	3009.128	3090.367	2848.011	3364.572	497	626.14	569.894	921.141	839.421	451.659	582.965	552.124	1122.996	1792.006	1337.832	1135.761
ENSG00000105559	2132.275	2165.27	1626.425	1700.568	1637.307	3112.165	1769.297	3369.183	2723.351	1023.841	5083.242	1925.388	1425.312	1345.999	626	1267.077	1495.052	1256	1456.018	1308.464	1347.015	178.008	240.018	141	342.039	25	133.999	119.269	54.001	3622.581	3044.335	1531.191	1642.128
ENSG00000105568	45072.688	44927.469	40831.029	39493.783	42907.286	40980.65	44789.315	54795.192	41286.896	43848.614	42898.456	41425.159	45905.106	38866.459	42125.283	36566.447	41007.462	43884.569	40346.369	37910.766	45987.775	4684.991	5347.466	5853.601	5545.404	4803.266	4758	7033.447	5450.534	14479.811	22305.199	16900.414	15988.815
ENSG00000105576	7917.952	8651.81	10077.053	6781.211	8881.506	8048.336	9471.982	12789.158	8697.73	9285.552	11099.319	9854.913	8514.45	9444.182	11158.83	8565.267	10166.073	8853.729	8634.349	7902.368	9430.046	2351.32	2786.605	2972.654	2685.567	2176.269	2573.128	3639.103	2700.623	5720.497	8246.859	7212.894	6238.617
ENSG00000105583	4595.601	4365.458	4070.781	4153.262	4255.848	3912.828	4130.094	4808.057	4046.7	3792.248	3300.241	3425.352	4181.481	3033.741	3286.176	3072.452	4124.446	4115.606	2688.657	2830.007	3554.865	907.005	1090.901	1305.837	1085.724	1008.379	1108.38	1085.263	1126.648	4363.111	5310.744	5659.667	4486.465
ENSG00000105605	11579.461	9226.879	6367.273	11490.616	10437.54	14817.362	8512.717	15304.898	11063.72	8370.362	17249.557	8760.598	5769.852	4625.496	2125.198	4801.967	5658.415	4734.972	8550.946	7267.037	8102.178	0	0	0	0	6	0	0	0	106	27	0	84
ENSG00000105607	5291.655	5160.888	4364.93	4276.07	6130.672	3996.775	5573.56	7400.792	5191.342	4667.742	4392.758	4669.9	3552.342	3519.833	3326.973	3473.812	3637.812	3946.661	3487.056	3431.514	4592.676	665.272	760.778	677.598	862.246	554.158	653.227	976.255	796.568	813	1119.393	1011.999	988.534
ENSG00000105609	2	3.777	0	0	2	0	0	0	0	0	4.755	0	0	0.5	0	1	1	1	0	0	0	2.006	2.006	4.358	22.969	9.002	14.345	2.088	10.535	0	0	0	0
ENSG00000105610	21	21	33	8	34	23	24	28	38	16	27	33.001	34	14	20	19	19.025	43	19	21	25	0	0	3	5	2	1	4	1	1	5	0	3
ENSG00000105612	4496.637	4249.753	2441	3432.026	3235.004	3475.025	2967.079	5234.579	4008.501	2786.908	4153.722	3587.187	3456.634	3344.402	1874.918	2038.446	2339.14	2446.284	2174.619	1981.607	2337.27	792.011	766.097	883	925.999	319	582.001	652.694	516.462	5736.965	3308.414	4582.616	3433.229
ENSG00000105613	3021.345	2400.055	1787.959	2651.175	2360.299	2145.295	1771.858	3046.816	2393.09	1412.563	2342.698	1728	1776.022	1154.527	657	1228.002	1055	869.238	1309.044	996.043	1540.641	28.16	25.161	34.585	31.519	25.912	32.06	15.866	23.838	11	17.001	3	9
ENSG00000105617	11.569	8.956	22.538	14.007	6.854	15.616	8.766	11.351	7.64	13.655	10.586	11.329	11.671	7.648	10.296	78.799	130.045	151.96	160.275	164.368	207.736	0	1.738	0	43.473	1.997	0	0	2.57	25.574	11.476	24.775	220.798
ENSG00000105618	6718.428	8190.267	7234.706	5712.286	8524.047	6903.59	8919.255	10742.609	8048.009	7597.151	6875.592	8330.017	6248.7	5439.976	6999.509	6734.583	6969.012	8048.06	5263.011	6019.639	7396.878	1190.429	1421.686	1751.914	1486.062	1405.821	1314.048	2109.23	1448.884	2538.892	5039.305	2963.204	3153.737
ENSG00000105619	83.623	88.635	55.089	179.138	190.028	125.16	264.562	181.589	149.129	240.842	122.862	301.4	191.537	215.142	130.957	109.84	120.642	161.692	137.892	111.158	49.659	111.156	264.638	255.508	157.413	157.515	223.248	260.157	192.546	303.438	109.387	147.975	359.789
ENSG00000105639	1328.881	1158.005	614.217	1155.597	1096.119	1487.422	967.844	1868.484	1396.217	955.555	1529.694	1184.015	991.763	839	349.002	584.234	685.043	648.046	986.533	716.89	918.732	3440.94	2965.29	2715.235	3696.74	2034.877	2350.21	2953.608	3213.526	172	290	17	39
ENSG00000105640	112719.042	97500.909	79233.953	101869.995	90307.354	93059.685	102480.182	130828.614	107005.914	100092.891	93477.205	81502.629	99047.353	85477.389	79338.015	63380.891	82869.251	79260.066	78787.453	70284.909	87507.914	17687.897	22515.211	21134.786	26484.974	35386.95	28737.456	26634.87	23505.629	54271.582	38497.47	39055.037	37426.707
ENSG00000105641	121	148	88.026	110	127	141	108	242	219	147	392.026	195	172	170	71	111	141	169	106	111	104	6.016	17	17	37	13	19	19.099	17	0	0	0	0
ENSG00000105642	532	463	267.999	427	431.184	705	433.024	695.018	702	863	1053.046	505.04	828	702.001	487.001	471.999	601.05	631.002	691.883	752.09	783.999	196.989	107.952	114.69	77.402	174.184	79.123	35.613	97.342	0	4	0	1
ENSG00000105643	303.142	376.137	302.001	269	305.057	422.999	316	591	497.084	370.999	626	336	273.999	354.001	199.999	205.999	286	285.001	422.015	300.115	305	249	339	428.999	396	286.001	561.001	328.001	303.063	453.002	1175.087	958.023	666.238
ENSG00000105647	8871.113	11209.929	10063.729	7724	9926.515	9601.51	10403.738	13334.642	10804.786	8008.886	10565.666	10160.332	8834.405	7275.13	8595.387	8394.742	9371.142	9865.233	6956.463	7405.434	8171.892	449.524	670.893	611.065	718.063	650.017	655.686	1026.214	834.508	6888.582	9695.241	5246.596	4234.183
ENSG00000105649	765.078	828.599	442.999	756.001	837	870.333	858	1233.135	732.043	736.839	750.031	600.063	684	874.367	644.097	505	546.999	496	597.001	427.093	625	58	85.001	70	83	52	51	65.001	71	112	219	113	115
ENSG00000105650	243.484	260.949	139.885	149.826	351.593	225.903	237.875	374.57	283.171	167.791	306.478	213.429	164.462	187.785	93.631	184.761	160.134	124.692	214.75	103.333	176.479	35.522	46.362	59.638	150.59	31.571	74.639	65.512	56.604	29.524	2	0	0
ENSG00000105655	14047.919	13678.673	11190.325	12989.74	17081.047	16084.528	14869.092	20844.467	15398.579	16338.795	17655.549	13860.95	14022.194	12043.883	10313.732	10261.091	12101.562	10661.025	13157.983	11079.246	14134.422	179.001	752.88	578.341	298.095	359.159	389.109	345.327	373.294	350	397.099	409.023	205.001
ENSG00000105656	1671.384	1907.261	1862	1408.087	1693.026	1627.717	2019.078	2144.075	1693.085	1752	1634.109	1632.074	1644.168	1619.465	1859.566	1707.552	1880.262	1853.848	1382.898	1513.011	1866.95	1141	1527.717	1362.259	1285	814.759	707.171	1150.187	991.001	1014	1689.093	1187.015	1101.37
ENSG00000105662	1217.059	1213.695	1137	1026.024	1233.399	1712.028	1291.231	1812.783	1315.009	1280.999	1611.11	1115	1363.37	1632.011	1023.008	1047.999	1149.666	1152.002	1514.04	1314	1334.999	99	113	161.999	139	121.985	139	104.006	107	1558.015	1400.047	1141.266	758
ENSG00000105664	22	12	5	6	6	5	2	3	9	6	13	4	9	18	12	14	29	17	13	5	5	6	9.136	62	10.025	3	7.526	6	2	2147.847	8946.879	67107.172	4958.451
ENSG00000105668	45	56	32	56	40	58	48	131.696	71	71.001	137	49.002	52	83.003	81	22	78	47	125	85.001	38	7	7	9	23.017	6	13	8	21	3	4	7	2
ENSG00000105669	11720.565	11254.173	9021.999	10486.067	9981.141	9366.5	9010.541	11226.859	8775.413	9157.321	8485.786	7936.298	9920.769	7971.615	7579.258	7140.104	8559.402	8926.507	6905.134	6609.836	8122.804	3070.505	3272.226	3352.855	4329.031	2685.109	2938.023	2971.169	2706.269	5244.878	6811.404	7244.642	6988.709
ENSG00000105671	3088.308	3378.135	3936.999	2393.013	3292.812	1932.8	4583.136	5048.314	3149.388	3920.066	2689.859	4000.013	2603.857	2247.821	3795.179	3406.738	3390.973	3936.848	2078.517	2512.489	3601.429	786.091	1109.034	1123.058	1232.517	931.084	875	1355.705	869	1908.068	2519.17	2306.575	1954.008
ENSG00000105672	45	45	46	26	37	57.001	42	75.001	75	42	60	50.001	26	43	13	18	48	29	23	16	25	9	12.002	7	18	15	25	21	4	67	54	34	29
ENSG00000105675	83.597	73	42	78	51	57	62	96	79	44	49	44	38	53	38	25	49	31	54	52	47	35	31	49.001	101	67	12	77	7	0	1	0	0
ENSG00000105676	4800.57	5049.003	6829.039	3929.823	5748.028	4095.066	9117.948	8961.815	7323.616	7322.055	5306.206	7863.05	5441.651	3992.123	5888.306	6169.396	7220.285	6756.637	3930.345	4472.097	5772.889	583.254	973.179	980.483	887.421	765.925	881.516	1414.954	858.998	1458.006	2514.989	1713.371	1930.154
ENSG00000105677	6579.041	6825.966	6191.334	5687.943	6898.517	6419.401	8833.164	10049.579	7316.12	7887.13	6045.838	6320.654	5422.769	5258.749	5277.045	4538.949	5410.29	5535.218	4572.086	4404.296	5548.895	759.001	760	756.551	890	637.411	872.999	1001	470.367	5101.562	3785.257	3916.082	2774
ENSG00000105679	11	4	5	7	11	28	11	21	17	2	24	12	5.039	5	2	2	1	4	7	2	2	84	80	54	65	111	149	93	75	1	0	3	0
ENSG00000105694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	5	5	4	2	1	0	0	0	0
ENSG00000105695	49	77	96	35	35.001	86	49	115	82	16	21	93	9	10	8	54	53	49.023	5	0	2	23.006	16	8	11.186	4.001	6	3	1	0	0	0	0
ENSG00000105696	3652.533	1893.205	1112.001	3098.263	1938.375	2628.963	1888.395	2589.476	1907.768	2494.741	1404.041	1189.313	1227.177	1749	1028.023	932	1013.753	1159.299	2633	1748.904	2205.001	1	4.002	1	3	2.004	3	2	2	92	77	149	41
ENSG00000105697	2	0	1	3	1	5	0	0	1	1	0	1	4	0	0	1	0	0	0	1	0	11.06	9.042	11.415	2	10	9.08	10.998	8.008	0	0	0	0
ENSG00000105698	9713.115	9183.241	8337.783	8312.197	8071.571	9432.244	9252.616	12887.303	9694.373	9639.078	10645.443	7917.239	8000.988	8867.231	7341.636	6153.462	8256.49	6527.823	7428.948	6765.387	7880.038	2938.529	3520.844	3649.689	3223.824	3215.758	4215.409	3075.238	2822.49	6794.66	6721.748	5089.216	3796.288
ENSG00000105699	16182.35	17261.563	22996.267	13173.317	17606.399	15262.38	23162.724	25858.497	20657.713	19052.157	17939.271	20688.461	13127.929	12736.293	16496.939	16588.625	20447.079	17594.549	12474.848	13050.118	13729.859	628.001	551.239	1043.981	806	293.999	448	916.317	879.019	63	242	102	196
ENSG00000105700	10711.501	10851.313	8431.985	9271.793	9673.939	10237.3	9882.917	14791.929	12061.983	10515.479	12120.794	9485.694	10937.678	11465.751	9865.768	9107.863	10800.603	10486.825	10091.633	9032.698	10624.453	1969.464	2202.902	2399.683	2407.081	1526.012	2163.834	2293.02	2141.799	4196.962	8032.574	4748.877	4670.31
ENSG00000105701	31601.302	30557.726	22433.34	26719.568	26385.964	28333.796	28017.21	39653.391	28120.214	25753.413	31830.68	23423.99	25588.381	23119.429	19978.362	18634.732	21746.444	21876.397	21670.363	19513.694	23927.121	4869.628	5319.132	4980.004	5122.985	4384.463	4972.941	4863.431	4887.945	16989.342	22317.643	24459.927	18845.222
ENSG00000105705	2512.437	3015.144	3457.565	2168.092	3435.186	4387.546	3879.482	4924.865	3749.617	3267.398	3757.731	3454.957	2970.864	3759.366	4173.517	3394.511	4319.618	3568.846	2654.09	2898.428	3349.53	638.821	780.348	828.161	898.645	572.363	716.998	818.998	660.999	1744.198	2861.011	1570.974	1435.001
ENSG00000105707	1975.072	1017	358.003	1662.804	1114.06	3236.605	1617.443	2851	1968.985	1234.938	3632.44	1330.608	1373.999	1476.435	491.015	905.15	1117.96	646.887	1297.205	913.999	696.999	1	0	1	7	0	0	2	0	0	0	0	0
ENSG00000105708	748.002	719	419	622	586	592.181	657.067	761.004	605.01	580.602	854	513	557.072	667	718.322	585.997	735.236	735.19	759.634	501	573.003	223	285	236	271	263	191	185	205	307	219	228	214.964
ENSG00000105711	130	168.001	165.047	96	209	334	207.999	387.002	300.001	572.782	568.35	195.999	355	611.001	297	186	292.19	198.001	463.251	248.303	278	9.331	13.69	14.03	12	13	22.119	6.774	15.445	444	835.443	2065.433	954
ENSG00000105717	124.328	162.999	127.062	121.099	160.214	129.014	141.001	220	130	96	233	137.999	56	116	53.999	66.001	77	90.999	66	57.001	93	116.999	73.001	54	138	67.001	309.096	184.091	84	27	144	148.001	98
ENSG00000105722	5215.71	5165.067	5732.091	4284.788	5226.671	6981.784	5471.91	6784.333	5606.66	4999.559	6669.095	4807.853	4796.754	4344.33	5070.194	3950.196	4614.902	3582.499	4539.07	3928.994	4553.665	746.969	1058.995	1091	1125.072	485.999	735.322	1172.932	975.011	3043.06	5710.048	4585.183	3459.13
ENSG00000105723	6880.395	7639.916	7807.291	5870.406	6828.578	6049.064	6850.947	8675.909	7068.22	6117.89	7272.765	7264.333	5844.333	4806.004	5433.705	6593.625	7334.268	6756.22	5174.562	5144.291	6019.186	1162.628	1350.779	1612.389	1602.957	903	1216.231	1554.16	1197.299	2719.52	5856.259	3626.534	3141.947
ENSG00000105726	7681.302	7313.446	9808.163	6961.447	8471.966	7804.547	9085.287	10114.532	7330.668	7701.03	7056.618	8736.871	5808.879	5539.461	7593.772	6555.961	6431.14	6886.796	5355.728	5797.218	6790.31	2121.724	3115.155	3118.779	3044.16	2453.69	2690.504	2982.382	2997.698	3295.099	3701.797	3489.839	2398.661
ENSG00000105732	3652.909	3666.573	3449.01	3138.403	3521.51	3213.49	3377.801	4669.826	3387.406	2909.7	4126.699	3545.639	2948.068	2668.145	2697.58	2255.078	2682.709	2867.378	2696.211	2317.18	2809.628	432	486.503	500.999	470	298	411.265	527	402	682.005	1390	663.166	719.26
ENSG00000105737	5674.408	5433.598	4658.251	4605.93	5130.798	5463.94	5164.212	7051.548	4925.044	3424.965	6445.606	5646.805	2970.799	2902.011	2205.231	3196.068	3406.639	2827.41	2933.636	2359.08	2887.393	10	4	5	11	2	5	13	7	7	10	13	9
ENSG00000105738	3909.102	3895.487	4473.027	3283.759	4549.669	4052.281	4278.466	6331.123	4727.249	3165.257	5747.247	5144.477	3222.112	3524.173	2812.556	4426.732	4880.707	4107.499	3066.999	2776	3617.428	2788.902	3056.125	3132.65	3255.527	1697.005	2820.385	3325.672	2664.167	813.117	3002.08	1599.184	1342
ENSG00000105750	717.102	1069.969	1113.577	518.366	1162.915	1307.362	1131.099	1520.458	1112.06	1357.46	1024.936	1286.387	1305.172	1577.736	1374.126	1356.873	1646.945	1798.895	1315.154	1380.432	1380.537	127.758	191.42	235.6	302.246	120	292.588	313.325	244.34	78.188	309.767	240.626	131.964
ENSG00000105755	887.072	746	427	777.573	769.988	734.052	762.421	1208.607	796.095	732.71	744.29	680.229	904	732.943	528.654	455.639	547.023	407	808.918	787	954.645	482.948	373.089	595.283	527.923	433.128	674.205	555.358	452	1469	3278.981	4036.044	1608.93
ENSG00000105767	3097.585	3468.136	2807.761	2394.445	2188.637	2861.689	2281.136	4804.912	4178.659	1449.682	5211.408	3657.048	1242.864	740.894	603.776	2082.998	1672.982	1887.159	881	851.289	1099	18	13	14	17	8	22	13	6	137.357	86	99	41
ENSG00000105771	2056.539	1295.004	2121.001	1746.653	1822.131	1667.104	2241.489	2878.238	1966.473	2084.58	2500.687	1959.414	1530.999	1503.436	1209.03	1495.556	1554.025	1176.119	1616.055	1115.187	1347.254	1000.204	1102.158	1171.347	1131.1	818.071	1027.113	1239.107	1142.2	1556.017	3757.107	2486.03	2926.613
ENSG00000105778	7707.465	6808.534	4494.101	6496.473	6382.258	7566.139	6724.347	10078.131	7122.736	5854.525	6855.031	6394.494	6545.278	6554.606	6154.956	4833.784	4993.907	5523.349	6767.188	5690.529	7354.517	1869.906	2115.395	1856.819	2029.282	1070.619	1548.229	1817.759	1589.226	2520.339	3247.718	2763.448	3638.624
ENSG00000105784	64	92	58.999	45	59	53.001	54	98	91	32	56	73	25	21	25	60	75	65	22.999	29	24.001	8	7	6	11	8	15	14	10	23	26	16	8
ENSG00000105792	342.044	391	262.118	287.001	340	306	177.999	499	358.999	152.1	393	306.082	159.001	123	147	257	241.048	178	156.999	151	183	18.034	51	34	36	12.009	11.999	16	56.016	301.999	269	282	123
ENSG00000105793	1530.146	1572.075	1447.001	1216.425	1615.18	1694.134	1919.08	2293.194	1715.782	1601.631	1666.972	1750.799	1849.037	1650.001	1740.182	1801.178	1993.823	2020.112	1640.076	1544.168	1689.999	604.161	817.248	943.779	955.822	373.673	614.883	1113.816	711.558	1529.012	1559.003	1204.1	1249.958
ENSG00000105808	2077.358	1973.639	1200.127	1874.421	1869.714	2367.154	1460.599	2910.591	2031.24	762.274	3997.582	1538.971	616.802	800.637	426.343	597.777	752.779	545.451	539.938	492.907	528.891	1701.179	2560.922	1613.765	1356.012	1820.725	1858.092	1720.501	1272.594	1764.836	2436.569	4781.493	4579.976
ENSG00000105810	6039.576	3953.242	3353.259	4689.491	2735	2305.046	2493.623	4469.063	4016.082	4033.685	4631.42	2846.051	7748.035	6458.534	3819.415	4547.6	3961.834	4339.476	4199.14	3555.711	5242.646	6160.872	4536.641	6158.658	5096.001	3234.014	2789.075	3550.366	4823.393	3732.383	9418.886	9531.966	8201.135
ENSG00000105819	7455.679	7658.366	6441.435	5956.316	7672.159	8869.475	9917.615	11366.634	8714.991	8157.302	9542.574	8143.988	7280.807	7795.627	7696.305	6887.519	7912.898	7802.611	7505.53	6496.104	7417.125	2024.248	2492.884	2747.382	2610.663	2112.327	2500.05	2299.835	2240.985	3756.767	4985.372	3383.74	3540.37
ENSG00000105821	5473.451	6799.393	7092.835	4964.906	6945.272	4365.611	7957.119	9660.118	6006.695	6327.822	7718.005	7128.026	5995.167	6097.844	7339.647	5332.661	4211.155	5498.487	5162.153	4620.706	6267.525	955.59	1299.208	1404.42	1441.981	1231.324	1046.459	1653.05	905.111	1596.996	2432.534	1781.77	2152.013
ENSG00000105825	828.017	1197.009	1265.425	530.024	737.001	365	454	1070.167	1412	350	404.011	855.123	448	686.503	785.013	1192.226	1360.021	1337	445	537.778	483.999	37	55	140	54	64.999	63.999	96	53	308	15484.991	1415.097	2935.356
ENSG00000105829	3281.172	3112.632	2404.001	2898.605	2451.538	2581.517	2198.204	3771.204	3145.701	2302.351	2369.715	2287.003	3205.099	2333.742	2014.671	2358.928	2614.911	2695.104	2164.137	1996.15	2162.459	598.016	605.001	732.999	892	247.73	530.001	485.454	543.001	2479.05	2754.733	2697.182	2548.354
ENSG00000105835	14101.767	12639.933	10182.833	11038.032	10923.642	10857.282	14078.862	18514.336	13101.99	13600.689	12713.314	12329.427	11689.108	13548.348	10733.177	10989.442	11173.361	11674.927	13346.166	9757.191	12285.941	11640.589	10165.872	9974.217	10271.878	4731.724	3635.183	6552.454	6862.192	6558.4	5792.419	2736.048	3496.105
ENSG00000105849	4197.075	5343.78	4221.668	2924	4666.939	3936.836	4562.095	6826.76	4535.214	4137.395	3545.794	4623.897	3974.904	4325.84	4644.695	4308.815	3912.085	4889.134	3827.332	3745.441	4964.326	638	816	1044	942.128	753.231	577	1197	817	1451.015	2200.634	2090.066	2044.857
ENSG00000105851	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	772.099	1153	1408.978	706.237	494	295.113	280	453	0	0	3	3
ENSG00000105852	19	12	23	2	9	0	8	8	12	6	10	5	6	11	11	22	18	46	13	29.001	12.999	7	3	1	1	0	2	1	0	0	0	0	6
ENSG00000105854	2171.004	2521.532	2497.998	1744.989	2314.334	2956.721	2242.002	3110.396	2735.158	1562	3248.538	2485.063	1987.836	1353.282	1533.601	1876.383	1876.82	2120.352	1695.261	1712.975	1794.601	311	236.999	316	137	158	176	132.065	439.001	2886.849	5827.981	6272.189	6510.493
ENSG00000105855	855.002	1008	739	639.005	607.002	623.118	355	824	585.545	486.002	1500.999	683	529	345	408.31	230	406	382	423	524.334	537.138	755.609	850.195	1602.352	519.544	57.166	178.715	374.226	1554.907	650	684	1658.239	803.002
ENSG00000105856	4911.101	3762.46	2714.829	4235.315	4200.155	4546.39	4016.876	5835.122	3853.999	4346.507	4543.115	3591.995	4166.119	5099.178	3299.435	3343.975	4918.429	2978.952	4112.526	2517.732	3518.905	1037.728	1064.105	1057.413	1108.783	507.386	952.226	360.466	666.808	8062.537	6622.528	6711.552	4468.916
ENSG00000105865	1194.001	1612.015	1332.001	958.999	1609.571	1413.184	1499.005	2080.247	1512.781	1177.215	1429	1609.208	1322	1197.005	1228.001	1036.387	1026.019	1480.108	1051.125	1030	1255.932	218.779	273.89	272.721	283.284	260.304	263.717	300.68	295.56	289	467.998	336	329.747
ENSG00000105866	3479.528	3254.275	2436.001	2968.372	3010.274	4148.502	3378.759	5384.512	3859.244	2933.788	3784.78	3334.028	3288.509	3541.159	3320.936	3269.484	4066.848	3382.707	3335.676	2990.312	3151.7	1373.967	781.609	743.392	1091.537	632.024	950.316	871.024	1245.257	434.159	700.126	349.015	439.063
ENSG00000105875	1609.243	1800.001	1418.999	1313.006	1513.082	1262.073	1510.04	2196.467	1648.813	1192.306	1363.392	1559.258	1076.052	1071	962.193	1315.925	1408.837	1435.013	1035	908.267	1221.001	3701.297	2567.164	3458.297	3388.752	1768.63	1943.306	1766.854	3017.351	666	934.749	902.598	626.057
ENSG00000105877	379.077	559.479	283.999	278.026	261.016	637.031	231	539.053	566.009	571.012	261.007	440.999	624.998	897.01	926.18	456.001	537.006	605.005	592.009	631.008	449.053	749.911	41.065	36.787	273.125	14.472	500.47	18.444	64.568	26.001	205	20	56
ENSG00000105879	4028.631	4064.319	3276.004	3343.347	4085.947	4326.747	4226.676	5386.525	3989.222	3287.811	4393.824	3696.07	3221.22	3318.444	3286.243	3111.298	3308.198	2984.646	3355.754	2808.829	3412.593	822.092	877.696	986.891	1092.348	623	665.001	1004.278	754.999	1747.251	2511.175	1632	1667.302
ENSG00000105880	8	23	45	12	79	4	0	1	2	2	62	1	1	0	1	10	1	3	1	0	2	0	0	0	0	1	0	0	0	0	4	17	0
ENSG00000105887	17338.307	17536.496	13382.061	13548.621	15265.08	16743.196	16383.37	22674.471	16467.586	12727.933	15010.253	14555.204	13331.573	12788.994	13401.553	13556.977	13422.635	14155.854	13022.454	11174.158	13922.071	6984.551	6023.593	8250.933	7761.164	2755.703	5245.436	6998.319	7451.821	20230.87	33872.223	28989.979	26987.13
ENSG00000105889	527.494	655.933	616.135	438.449	674.821	494.446	401.4	835.482	783.449	185.993	438.99	838.691	184	172.997	238.999	601.998	745.34	635.998	148.971	206.996	158.001	11.072	19.671	25.388	9.285	4	3.23	3	18.225	690.933	1271.143	48.001	441.921
ENSG00000105894	3477.618	3660.492	3853	2796.629	2581.954	5047.57	2332.647	3870.717	3155.383	2423.089	3928.309	3821.087	4119.162	1860.012	2439.285	3538.312	4323.564	3873.543	1884.215	2702.581	2388.001	8	6	7	1	6	0	4	0	1646.931	3868.603	1141	1480.452
ENSG00000105926	5300.904	8375.425	7973.637	4279.831	8317.746	8432.577	11048.119	10771.176	7686.388	6998.057	6718.381	9511.04	6763.714	6650.117	6728.329	6564.041	5544.761	6547.194	5257.381	5187.714	6858.084	718.339	1027	1313.786	940.755	967.352	756.09	1408.001	1006.931	1058.002	1210.777	1187	862.035
ENSG00000105928	579	663.031	443	482.999	346	261	281	460.999	492	210.001	678.241	401.002	231	218	185	333.002	415	469.999	132.999	204.019	152	2338.621	3821.179	4736.606	3512.847	3059.82	6248.909	7127.072	1421.247	2984.696	2283.027	2203.088	2240.09
ENSG00000105929	125.999	107	67	93	81	161	82	115.999	106	43.001	119.016	68	100	97	88.999	80	84	101	58	85	56	0	1	0	2	1	1	0	1	0	14	11	8
ENSG00000105939	5355.716	6140.403	5274	4002.387	5925.776	4426.943	6024.806	9635.482	8087.1	4866.812	5548.466	6592.903	6254.758	5117.073	8999.921	6355.659	7618.243	6710.929	5264.002	5630.376	5621.026	2296.583	2583.653	3225.837	2988.283	2152.189	1847.543	3656.889	2449.924	4647.077	7884.197	5502.474	4789.856
ENSG00000105948	573.014	763.145	677	424.001	714.03	798.005	1007.387	1154.139	878.999	984.111	800.239	920.961	1180.991	1247.504	1100.001	831.024	1047.01	932	1114.917	990.066	995.003	114	175.113	177.176	205.675	170.324	170.756	229.526	173.501	843.487	1097.743	535.092	769
