L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000005102	8	23	13	20	8	21	15	44
ENSG00000005108	2	6	0	3	4	6	2	6
ENSG00000005156	1145.394	989.357	1141.515	1282.969	1161.594	1062.272	1260.405	1112.906
ENSG00000005175	899.511	1051.001	1338.897	1275.303	874	845.192	1639.152	976.998
ENSG00000005187	310.702	523.521	733.976	287.813	192.143	123.166	240.831	417.673
ENSG00000005189	305.001	240.999	317.117	368.631	332.001	242.001	327	369.999
ENSG00000005194	614.018	973.999	1066.999	1028.475	775.998	773.641	1296.69	782.34
ENSG00000005206	859.322	1113.017	1133.006	1244.704	1015.752	1620.007	1273.007	1106.781
ENSG00000005238	384	358.626	429.999	417	174.001	230.999	250.064	259.247
ENSG00000005243	83	49.999	57	100	61.001	82.001	35	34
ENSG00000005249	7	8	9	9	25	3	7	14
ENSG00000005302	4202.135	3093.447	4758.813	3783.157	1513.855	2773.039	2435.404	3124.245
ENSG00000005339	2729.694	2760.604	3260.419	3580.446	2034.19	2051.542	2813.074	2653.197
ENSG00000005379	327.07	515	461.186	311.08	850.001	291.011	298.074	324.037
ENSG00000005381	5	3	0	8	0	0	8	2
ENSG00000005421	0	2	0	1	1	1	0	0
ENSG00000005436	566.369	718.999	719.351	887.878	645.002	713.251	901	761
ENSG00000005448	1015.119	970.111	994.007	1241.564	1335.431	1172.537	1328.333	1165.241
ENSG00000005469	326	337	465.515	419.226	257.243	296.002	365.001	445
ENSG00000005471	598.573	354.572	677.593	358.102	271.951	370.068	137.512	260.942
ENSG00000005483	4174.659	4071.161	4407.183	4407.818	2175.6	3256.767	3844.231	3608.069
ENSG00000005486	491.107	442.006	502	566.999	546.004	386.999	405.194	446
ENSG00000005513	0	2	5	6	3	3	1	5
ENSG00000005700	2937.096	2650.986	2622.999	3058.337	1798.008	1780	2360.382	2377.799
ENSG00000005801	862.289	1387.029	1738.176	1506.27	937.427	1436.659	1716.197	1405.294
ENSG00000005810	10524.509	7511.553	9252.22	8128.999	5510.446	4591.638	6578.17	6740.782
ENSG00000005812	915.856	1079.626	1196.282	1261.249	795.548	756.035	1138.803	898.703
ENSG00000005844	5993.378	3448.912	6087.59	4936.169	779.963	3143.911	6632.208	3876.808
ENSG00000005882	74.654	64.732	195.541	114.552	52.994	160.976	100.093	181.04
ENSG00000005884	179.128	113.245	229.168	261.246	60.063	284.948	306.44	249.189
ENSG00000005889	997.154	1106.877	1121.167	1116.963	929.71	850.195	1087.743	1019.715
ENSG00000005893	2118.597	2563.502	2913.964	2481.492	1526.031	1874.983	2031.914	2021.068
ENSG00000005961	6.717	13.487	6.653	21.869	5.016	21.222	22.288	7.2
ENSG00000005981	8	6	3	1	1	1	1	2
ENSG00000006007	801.329	862	1122.475	982	655	591.999	955.021	844
ENSG00000006015	476.914	543.962	533.275	498.188	611.702	470.911	544.516	683.087
ENSG00000006016	40.397	33.951	59.176	56.244	89.738	66.548	76.65	76.258
ENSG00000006025	548.001	683	634	673	689.001	779.755	570.206	679.106
ENSG00000006042	7.444	5.84	42.136	19.54	2	7.608	19.93	16.003
ENSG00000006047	2	0	1	2	1	2	2	1
ENSG00000006062	1449.914	1145.064	1255.9	1533.061	1304.643	1344.909	1688.972	1274.546
ENSG00000006071	0	1	1	1	3	0	1	2
ENSG00000006116	1	0	1	3	0	1	1	21
ENSG00000006118	198.23	587.282	611.999	329.089	187.001	218	451.011	125.003
ENSG00000006125	5118.04	4816	5892.002	5203.569	3998.992	3385.018	4971.195	4559.285
ENSG00000006128	1	0	6	7	33	0	1	0
ENSG00000006194	853.736	1003.915	1127.692	1122.083	775.166	909.487	995.503	975.345
ENSG00000006210	93.238	59.661	18.452	128.044	12.027	18.091	21	10.935
ENSG00000006282	701.999	209.999	1400.952	1227.867	1821.006	522.004	1128.532	1469.051
ENSG00000006283	7	9	7	23	7	12	8	13
ENSG00000006327	25	18	52	38	4	6	17	19
ENSG00000006377	0	0	0	0	1.001	0	1	0
ENSG00000006432	929.886	818.859	826.357	1006.944	776.82	450.599	789.835	744.43
