JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3
ENSG00000003096	1680.082	1548	1112	1287.346	1377.999	1725.29	1087.131	2002.023	1511.502	692.539	1662.013	1510.3	667	326	294.002	634.017	784.278	672.087	596.05	542	714.801
ENSG00000003137	81	81	19	74	45	110	34	151	127	31	62	36	21	31	14	39.001	21	30	11	8	8
ENSG00000003147	3910.486	4213.055	2348.221	2979.118	3479.758	3568.673	3287.715	5468.635	4417.779	3108.111	3073.493	3059.189	3101.509	2545.994	1706.414	2428.358	2313.135	2734.02	2290.316	2139.069	2476.992
ENSG00000003249	7825.628	9659.134	10180.052	6274.246	8550.09	5581.787	6342.103	10349.616	8925.148	9222.895	11823	8150.931	10790.239	8503.838	11331.626	9705.839	10087.038	10562.921	7619.272	9621.779	10081.611
ENSG00000003393	6166.726	6197.523	5036.143	4834.076	5954.569	5948.316	6115.679	10122.468	7226.38	4719.409	6594.765	6291.509	4710.57	4732.263	3161.08	4957.045	4909.486	5603.752	4594.97	3675.962	4709.141
ENSG00000003400	369.999	337.001	185.999	256.004	278	195	224	412	398.028	132	393.937	283.001	424	297.001	301.005	313.034	395.044	379	136	104.027	124.001
ENSG00000003402	1079	1197	880.999	821.002	1041.057	1485.009	914.007	1374.999	1129.155	1266.219	1365.125	981.013	1866.098	1925.958	1484.001	1085.056	1223.002	1202	1654.949	1493.062	1508.565
ENSG00000003436	276.028	589.928	520.001	160	248	238	162.001	208	306	213	199.075	184	180.999	63	167.063	545.116	577	531	131.999	140	104
ENSG00000003509	2785.13	3469.879	3346.381	2388.998	4006.785	2778.148	3967.653	5788.923	4096.538	4442.607	5048.052	4073.469	3454.244	5531.175	4274.618	4570.176	5181.124	4346.124	3558.277	2965.014	3646.35
ENSG00000003756	7223.665	6238.205	7614.974	6615.135	8321.513	8524.208	8397.779	10914.964	7502.361	7106.69	9306.861	7534.68	5800.162	6914.877	5449.183	5931.944	7321.203	5128.522	7234.313	5721.669	6598.452
ENSG00000003987	1460.002	1538.362	950	1178.002	1061	1285.42	755.666	1329.155	1086.999	636	1205.167	964.003	531	373	412	658.026	895.013	943.075	908.192	926	783.21
ENSG00000003989	2344.006	2364.332	1952.024	1741.035	2501.107	1987.067	2044	3806.095	2899.157	2415	2661.131	2494.12	2414.542	2801.457	2749.007	3274.313	3189.825	3745.189	2787.256	2572.119	3168.074
ENSG00000004059	14507.422	14019.106	9871.817	12250.916	12065.597	13485.881	13024.626	17025.917	13227.959	12652.531	14115.521	11173.97	11977.372	8291.007	7936.248	8235.675	9004.193	9879.351	9507.79	9703.502	11036.089
ENSG00000004139	417	599.049	719.001	346.044	392.056	538	574.012	691	650.052	184	366.003	679.097	144	111	148	235.228	293	266	244	230	204.034
ENSG00000004142	8768.861	10207.951	8263.878	7043.595	9079.96	8655.922	9969.185	12550.108	9737.997	8447.734	8361.049	8847.58	8195.93	6782.067	8761.655	7576.225	7678.61	9474.062	6873.177	7152.697	9109.622
ENSG00000004399	10121.135	10641.712	7153.568	7640.559	8532.249	10620.792	7787.993	15596.122	13532.326	7139.319	9365.115	10164.296	5664.219	4635.153	3374.395	8812.617	7889.345	7826.624	6092.644	5038.082	5771.601
ENSG00000004455	8868.526	9940.421	8900.764	7392.571	9447.157	9460.964	12049.949	14809.929	10786.571	9482.199	9094.056	9814.393	9096.268	8393.006	9091.095	6918.371	7216.924	8295.181	8683.364	8347.694	9219.129
ENSG00000004468	125	81	34	116	41	98	28	61	68	38	68	36	65	81	57	21	51	61	88.007	52	48
ENSG00000004478	30799.847	26278.064	24337.933	24364.044	26608.308	22556.269	42346.282	50424.18	38343.224	37324.498	17634.526	30734.277	29620.492	23511.351	23623.653	30738.468	26319.584	33330.526	26211.913	21777.433	33237.136
ENSG00000004487	36895.981	41886.801	32047.991	29063.572	37049.088	38817.625	39571.891	54018.203	39959.456	32663.046	38583.116	39158.557	36166.912	30450.729	34385.464	33271.408	32584.815	37538.014	31511.573	31125.669	38881.53
ENSG00000004534	10914.909	11428.003	9423.343	8892.678	10770.755	10618.32	10171.328	17519.983	11557.603	11345.105	12194.43	10569.992	11034.679	10679.251	8362.762	9467.097	8615.748	8615.703	9909.111	8673.712	10699.854
ENSG00000004660	1096	1539.878	1018	1000.002	1124	1330.081	1103.179	1642.002	1191	1265.224	1195.127	963.163	955.999	1116.138	789.124	856.258	1047.892	1075	854.102	887.726	1216.837
ENSG00000004700	5869.565	6763.655	5366.741	4484.826	5300.724	5546.837	5361.608	8089.248	6634.62	4339.122	6806.596	5991.013	5593.24	5047.43	5238.619	5935.557	6423.362	6597.233	4754.262	4310.376	4889.219
ENSG00000004766	1151.523	964.618	996.001	981.446	1276	1365.923	1638.001	1929.211	1405.092	1391.017	1413	1351.001	1406.327	1210.072	996	1094.229	1236.179	992.397	1485.15	1174.877	1599.001
ENSG00000004776	175	171	98	89.042	102	80	175	234	182	164	219	155	168	132	97	102	80.001	114.084	172.011	143	199.124
ENSG00000004777	3122.671	2964.211	2640	3114.151	2633.734	2592.855	2099.025	4147.01	3068.547	2022.738	3159.116	2395.447	2312.721	1663.989	1665.336	1928.008	1886.001	1968.634	1782.131	1705	2323.556
ENSG00000004779	6849.753	6098.571	5297.023	5603.267	6160.804	5996.026	7422.29	9508.529	7092.916	10261.452	6495.089	5396.187	8433.936	10170.806	8312.46	6637.736	8046.71	8325.185	6421.961	5900.048	7899.772
ENSG00000004799	8	5	3	3	3	12	6	5	6	2	2	3	12	8	6	9	20	9	3	1	1
ENSG00000004809	16	23.001	21	17	17	7	5	14	20	1	26	14	3	1	1	8	7	8	0	1	1
ENSG00000004838	21.855	15	9	35	22	15.003	21	24.039	18.007	9	48.042	22.015	16.011	16	7	9.024	10	11	10	7	10.014
ENSG00000004846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000004848	3	0	6	0	1	0	0	2	3	0	0	0	2	1	2	2	6	3	2	0	1
ENSG00000004864	7892.837	9693.359	8748.586	5538.195	7961.488	8179.583	10075.386	12882.333	10196.113	6952.855	8893.624	10159.27	6512.482	6069.314	6483.519	7980.72	8050.139	8207.396	6183.054	6166.993	7584.438
ENSG00000004866	1410.373	1692.464	1838.006	1275.013	1833.037	1740.121	2313.105	3090.394	2279.96	2442.371	1813.936	2024.071	2098.022	1978	2489.609	2049.87	2501.927	2164.54	1526.499	1675.772	2206.999
ENSG00000004897	7650.382	7351.791	5735.538	5909.543	7588.915	8734.293	8799.591	11615.759	9014.387	6964.412	7972.498	7239.874	7566.596	8472.494	6006.584	7408.42	7751.821	7122.575	7027.35	5875.198	7212.3
ENSG00000004939	16	9	10	8	8	13	6	16	17	2	18	8	14	0	1	10	10	12	6	12	4
ENSG00000004948	41.005	61	121	26	43	39.999	50	112	137	52	34	71	12	74	115	237	464	190	96.002	86	69
ENSG00000004961	1940.78	3173.708	2953.998	1247.999	2746.643	2536.353	3214.07	3666.339	2817.643	2353.295	2336.718	2853.658	2073.572	1992.601	2714.519	2542.475	2646.08	3320.995	1844.093	2122.689	2481.546
ENSG00000004975	4773.544	5941.665	5562.765	4288.667	5672.424	5313.455	6428.531	8419.166	5605.579	6022.227	7674.196	5889.115	4726.083	4590	5074.453	4208.985	4863.549	4940.779	4847.163	4304.421	5611.16
ENSG00000005001	24.862	42.964	59.75	44.064	33.83	22.722	9	77.409	54.715	22.655	79.017	22.96	5.331	27.02	3	22.216	28.786	21.727	10.451	22	6.307
ENSG00000005007	16391.246	14235.891	12811.277	13622.616	13534.392	12442.198	13546.083	20190.32	15092.91	11723.484	13833.434	12649.084	13289.135	13053.313	11833.402	12766.186	13447.675	13793.9	13840.465	11251.997	14683.344
ENSG00000005020	523	563.325	424	432	366.028	518.931	448.042	693.002	598	365.032	382.001	584	497	352	273	379.017	455	356	382	339	396
ENSG00000005022	38980.036	33874.02	24945.406	30011.223	29309.148	33256.47	37991.169	48383.935	38412.307	35109.417	28158.027	31025.311	34706.487	32718.111	29831.207	28948.986	35438.589	32719.103	28495.513	25561.228	31317.015
ENSG00000005059	1330.024	1890.984	1933.984	916	1195.75	802.031	1090.347	2089.001	1671.093	1226	1050.111	1563.999	1664.977	1447.001	1582.701	1599.098	2109.308	2107.314	1188	1403	1527.756
ENSG00000005073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005075	3615.242	3560.812	3067.927	3346.912	3451.525	3387.432	3772.48	5684.129	4370.901	3893.337	3827.116	3174.143	3935.225	3396.192	3225.576	2742.611	3175.841	3262.046	2990.252	2996.541	3226.282
ENSG00000005100	6549.415	9087.304	10364.574	5344.872	8944.375	8152.178	10814.851	16173.344	11049.801	8438.247	9906.491	12465.079	9315.184	10227.405	12183.411	9821.234	10411.147	10985.607	8841.674	9349.41	10947.424
ENSG00000005102	7	18	14	3	5	21	1	7	17	1	15	9	2	2	1	0	2	3	1	0	0
ENSG00000005108	97	138	93	80	75	216	58	124	67	56	269	87	86	74	41	68	68.001	45	56	35	60
ENSG00000005156	13246.294	11814.051	9096.071	11165.435	11003.663	11209.579	13401.24	20155.732	13824.418	10662.645	14220.894	13010.931	11429.281	10450.383	8597.506	10026.733	10655.753	11070.278	10088.374	8840.729	11314.148
ENSG00000005175	5656.477	6355.966	5454.032	4423.804	6494.189	6277.084	7812.661	9832.585	6980.515	5397.414	6435.422	6589.712	4822.74	4782.662	4471.334	5698.93	5109.04	5707.982	4794.123	4035.907	5246.871
ENSG00000005187	1144.222	501.999	155.001	1109.142	645	693.001	467.001	1660.88	1241.739	490.757	1137.019	588.001	784.009	1004.345	269.999	244	355.005	310	510	332.317	502.005
ENSG00000005189	639.999	704.004	391	497.999	692	752.015	643.012	894.23	670.151	619.009	1053.572	538.999	671.999	631.771	487.031	380.001	425.002	612	575	491.067	659.002
ENSG00000005194	5179.307	6352.909	5834	4378.048	5975.853	6481.766	8661.585	9474.185	7524.245	6921.64	6127.018	6905.33	6035.568	5557.058	6484.163	5756.546	6401.507	7062.465	5015.935	5284.898	6231.215
ENSG00000005206	4723.16	5068.55	5604.017	4234.332	5848.246	5495.821	5231.262	7853.28	5366.161	5066.616	6903.676	5676.34	3823.305	4595.138	3996.483	3481.96	3335.578	3489.059	4343.362	4506.623	4978.305
ENSG00000005238	812.141	1156.005	838.305	726.414	703.02	914	557.001	862	727	520.001	1034.405	751.999	619.999	684.001	683.999	726.72	806.062	833	549.999	582.001	723
ENSG00000005243	1	5	1	5	6	1	10	7	5	3	3	6	9	9	2	8	10	8	3	1	2
ENSG00000005249	4598.615	5439.041	4534.986	3585.152	4320.032	4189.573	4130.148	6614.622	5031.133	5582.21	4699.78	4907.827	6457.692	6931.71	6673.476	6358.04	6912.915	6261.85	5186.521	4824.222	6223.909
ENSG00000005302	1730.012	1878.294	1763	1428.081	1634.405	1861.028	1520.216	2687.017	1963.023	1252.998	1976.67	1671.317	1555.002	1688.06	1294.39	1541.508	1538.184	1547.613	1364.298	1303.029	1646.005
