JL	Control_1	Control_2	Control_3
ENSG00000006283	668.009	186	17	49
ENSG00000006327	3487.021	20860.403	16035.211	12564.941
ENSG00000006377	0	1	0	0
ENSG00000006432	7	12	4	15
ENSG00000006451	11792.643	11102.948	10633.184	5726.74
ENSG00000006453	112	922.159	1267	962.185
ENSG00000006459	1972.418	1230.127	1329.02	1180.06
ENSG00000006468	2282.25	5325.01	579	1106.492
ENSG00000006530	1297.447	2198.48	1513.027	1751.418
ENSG00000006534	2620.999	6197.11	4481.201	3681.095
ENSG00000006555	0	0	0	5
ENSG00000006576	3508.027	8142.67	4526.352	5286.122
ENSG00000006606	2	34	54	22
ENSG00000006607	3123.155	4213.963	2964.234	4109.247
ENSG00000006611	0	0	0	0
ENSG00000006625	2640.503	2169.7	1376.477	1253.865
ENSG00000006634	666.87	2188.912	490.143	1160.82
ENSG00000006638	112	307	236.253	209
ENSG00000006652	5421.002	4526.524	4533.251	3958.086
ENSG00000006659	0	0	0	0
ENSG00000006695	834	1429.092	873.045	866
ENSG00000006704	1181.355	1968.717	2101.001	1186.513
ENSG00000006712	4097.092	7284.62	3192.006	3802.847
ENSG00000006715	5829.454	4583.18	3704.035	3579.842
ENSG00000006740	127	145	39	191
ENSG00000006744	3241.918	6839.424	4801.998	4861.959
ENSG00000006747	212.999	613.206	43	518
ENSG00000006756	1748.056	1488.008	2344.074	1000.036
ENSG00000006757	638.767	569.023	700.094	304
ENSG00000006788	2	0	27	0
ENSG00000006831	6201.476	6292.893	4872.867	4673.635
ENSG00000006837	153.064	118	145.001	70
ENSG00000007001	0	0	0	0
ENSG00000007038	0	7	0	0
ENSG00000007047	2638.131	3153.062	2858.089	2206.013
ENSG00000007062	2	0	0	0
ENSG00000007080	2906.126	4881.807	3018.41	3763.806
ENSG00000007129	0	0	0	0
ENSG00000007168	13555.523	22100.455	21102.779	16715.801
ENSG00000007171	3	0	0	0
ENSG00000007174	0	0	0	0
ENSG00000007202	12730.465	20754.021	17804.972	16258.25
ENSG00000007216	0	0	0	0
ENSG00000007237	3660.559	1513.044	617	939
ENSG00000007255	582	120	328.982	164.023
ENSG00000007264	0	3	0	0
ENSG00000007306	0	0	0	0
ENSG00000007312	18	11	0	1
ENSG00000007314	4	0	0	2
ENSG00000007341	1457.021	2225.261	1255.025	822.181
ENSG00000007350	0	0	0	0
ENSG00000007372	103.411	127.999	13	108
ENSG00000007376	790.28	1563.999	1034	889
ENSG00000007384	3923.432	7338.665	4979.153	3787.122
ENSG00000007392	2520.209	3672.242	3585.816	3080.141
ENSG00000007402	5	7	9	3
ENSG00000007516	8	13	5	13
ENSG00000007520	2114.083	3913.036	2396.624	2778.772
ENSG00000007541	1894.001	3261.226	2067.006	1492.298
ENSG00000007545	2074.019	2380.139	2039.144	2082.921
ENSG00000007866	2558.477	3312.165	3564.731	4229.209
ENSG00000007908	0	0	0	0
ENSG00000007923	3415.447	5255.307	3475.447	3635.694
ENSG00000007933	21	0	0	1
ENSG00000007944	2977.345	375	176.001	362
ENSG00000007952	2	0	0	0
ENSG00000007968	34	441	46	213
ENSG00000008018	6988.836	8746.19	9096.191	8629.653
ENSG00000008056	23	56	25	1
ENSG00000008083	596.001	2460.216	1199.174	1024
ENSG00000008086	692.006	1546.024	1021.056	1273.332
ENSG00000008118	0	45	80	0
ENSG00000008128	2689.063	3837.512	2347.225	2430.123
ENSG00000008130	4526.724	7068.753	4846.955	4875.896
ENSG00000008196	0	0	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	35	9	18.002	18
ENSG00000008256	9952.51	18389.162	14009.759	15296.512
ENSG00000008277	201.003	32	1	4
ENSG00000008282	9885.85	11283.579	9213.143	7404.144
ENSG00000008283	1808.177	3146.046	4975.49	2593.01
ENSG00000008294	11996.526	17656.204	13730.703	14477.845
ENSG00000008300	158.002	238	239	109
ENSG00000008311	1779	2415.274	1750.008	1427.06
ENSG00000008323	1	0	0	1
ENSG00000008324	860.01	720	531.067	552.05
ENSG00000008382	418.084	355.025	317.001	338
ENSG00000008394	15744.057	23171.94	8458.403	6563.201
ENSG00000008405	1222.36	1434.957	908	2017.584
ENSG00000008438	0	0	0	0
ENSG00000008441	38925.799	43434.964	26498.125	25189.417
ENSG00000008513	4371.081	5233.904	3674.345	4008.441
ENSG00000008516	10	3	6	4
ENSG00000008517	191.003	170.014	73.001	387.998
ENSG00000008710	10123.778	20554.238	16654.858	15234.402
ENSG00000008735	77	29	43	21
ENSG00000008838	2756.225	4411.643	2879.859	3146.477
ENSG00000008853	2562.275	3159.167	1912.193	1754.666
ENSG00000008869	1668.709	3225.104	2546.015	2772.861
ENSG00000008952	15301.519	16296.298	15321.764	11231.827
ENSG00000008988	45252.164	20547.076	32222.297	28993.233
ENSG00000009307	43841.159	59296.853	50110.124	45601.252
ENSG00000009335	7661.561	15156.871	10425.834	12040.926
ENSG00000009413	20612.64	12861.446	6051.981	7250.778
ENSG00000009694	63	32	4	0
ENSG00000009709	0	0	0	0
ENSG00000009724	0	0	2	7
ENSG00000009765	0	1	0	0
ENSG00000009780	1146.004	1054.795	771.51	690.86
ENSG00000009790	1	1	7	4
ENSG00000009830	2149.742	2196.077	1457.001	1356.871
ENSG00000009844	3980.635	8678.905	5128.189	5289.646
ENSG00000009950	122.001	12	4	0
ENSG00000009954	8946.045	13401.435	7889.276	9468.747
ENSG00000010017	8613.564	10406.996	8839.855	5929.85
ENSG00000010030	77	19	3	31
ENSG00000010072	850.338	1542.275	967	1142.044
ENSG00000010165	3292.959	2794.201	1986.749	2086.028
ENSG00000010219	1229.838	1521.957	1514.993	1190.316
ENSG00000010244	9992.443	18836.174	12133.421	13489.449
ENSG00000010256	5062.692	10476.602	6717.387	8382.147
ENSG00000010270	1748.754	3483.237	2294.45	2568.795
ENSG00000010278	2522.737	10904.217	12025.466	1922.549
ENSG00000010282	0	0	0	0
ENSG00000010292	3115.149	14194.968	2842	7274.717
ENSG00000010295	3053.801	4950.645	4600.147	2824.775
ENSG00000010310	25	166	164	115.26
ENSG00000010318	152	414	185	293.999
ENSG00000010319	12	4	4	2
ENSG00000010322	5324.548	8800.134	7253.944	5328.16
ENSG00000010327	5	0	0	6
ENSG00000010361	658.106	767.069	432	420
ENSG00000010379	0	0	3	0
ENSG00000010404	10233.748	13120.443	10236.806	8499.268
ENSG00000010438	2	1157.368	76	117
ENSG00000010539	512.001	880	592.001	578
ENSG00000010610	40	16	19	4
ENSG00000010626	398.154	292.368	539.696	358.245
ENSG00000010671	2	7	1	4
ENSG00000010704	1805.994	2136.073	2314.999	1539.202
ENSG00000010803	2402	3675.53	2970.292	2311.066
ENSG00000010810	7997.168	7497.24	5002.889	4046.018
ENSG00000010818	4192.498	8188.033	8303.119	6857.747
ENSG00000010932	1238.158	0	0	0
